HabitCode | MessageType | Slot | AgeGroup | Gender | Variant | Text
PHG01 | T | MOR  | ANY  | ANY | V1 | صبح بخیر ☀️ اولین لیوان آب امروزت رو خوردی؟
PHG01 | T | MOR  | ANY  | ANY | V2 | قبلِ صبحانه یه لیوان آب بزن؛ بدنت تشنه‌ست 💧
PHG01 | T | MOR  | ANY  | ANY | V3 | شروع قوی = یک لیوان آب. آماده‌ای؟

PHG01 | T | NOON | ANY  | ANY | V1 | وقت ناهاره 🍴 قبلش یک لیوان آب می‌چسبه؛ خوردی؟
PHG01 | T | NOON | ANY  | ANY | V2 | یه وقفه کوتاه: یک لیوان آب برای تمرکز بهتر.
PHG01 | T | NOON | ANY  | ANY | V3 | نصف روز گذشت؛ آب یادت نره!

PHG01 | T | AFT  | ANY  | ANY | V1 | اگر خسته‌ای، یک لیوان آب انرژی‌ات رو برمی‌گردونه.
PHG01 | T | AFT  | ANY  | ANY | V2 | یه جرعه آب، ری‌استارت بعدازظهر.
PHG01 | T | AFT  | ANY  | ANY | V3 | یه لیوان آب می‌خوای؟ همین الان عالیه.

PHG01 | T | EVE  | ANY  | ANY | V1 | تا الان چند لیوان خوردی؟ یکی دیگه می‌زنی؟
PHG01 | T | EVE  | ANY  | ANY | V2 | شب رو با یک لیوان آب روون‌تر کن.
PHG01 | T | EVE  | ANY  | ANY | V3 | یه لیوان آب دیگه تا به هدف نزدیک‌تر شی؟

PHG01 | T | PRE  | ANY  | ANY | V1 | قبل خواب یک لیوان کوچیک آب؛ به اندازه.
PHG01 | T | PRE  | ANY  | ANY | V2 | آماده خواب؟ جرعه‌ای آب و بعد خاموشی.
PHG01 | T | PRE  | ANY  | ANY | V3 | آخرین یادآوریِ آب برای امشب 😊

PHG01 | E | ---  | ANY  | ANY | V1 | عالی! امروز از دیروز بیشتر آب خوردی 👏
PHG01 | E | ---  | ANY  | ANY | V2 | دمت گرم 💧 بدنت واقعاً خوشحال شد.
PHG01 | E | ---  | ANY  | ANY | V3 | داری رکورد می‌زنی؛ همین رو ادامه بده!

PHG01 | F | ---  | ANY  | ANY | V1 | اشکال نداره؛ الان فقط یک لیوان شروع خوبیه.
PHG01 | F | ---  | ANY  | ANY | V2 | امروز سخت بود؟ فردا سبک‌تر شروع می‌کنیم.
PHG01 | F | ---  | ANY  | ANY | V3 | یک لیوان الان، یکی عصر—کافیه.

PHG01 | P | ---  | ANY  | ANY | V1 | دیروز X تا بود؛ امروز X+1 💪
PHG01 | P | ---  | ANY  | ANY | V2 | این هفته مجموعاً بیشتر از هفته قبل آب خوردی.
PHG01 | P | ---  | ANY  | ANY | V3 | فاصله‌ات تا هدف امروز فقط یک لیوانه—می‌زنی؟

PHG01 | T | MOR  | KID   | ANY | V1 | سلام قهرمان! یه لیوان آب زدی؟ 💪
PHG01 | T | EVE  | KID   | ANY | V1 | امشب با یه لیوان کوچولو آب، قوی‌تر می‌شی!

PHG01 | T | NOON | TEEN  | F   | V1 | قبل ناهار یه لیوان آب؛ برای پوستت عالیه ✨
PHG01 | T | AFT  | TEEN  | M   | V1 | تمرین داری؟ آب یادت نره؛ عملکردت بهتر می‌شه.

PHG01 | T | NOON | YOUNG | F   | V1 | بیرون می‌ری؟ آب + ضدآفتاب = ترکیب طلایی ☀️💧
PHG01 | T | EVE  | YOUNG | M   | V1 | بعد تمرین یک لیوان آب برای ریکاوری بهتر.

PHG01 | T | AFT  | MID   | ANY | V1 | یک لیوان آب کمک می‌کنه کمتر سراغ تنقلات بری.
PHG01 | T | PRE  | OLD   | ANY | V1 | قبل خواب، جرعه کوچک کافیه—راحت‌تر می‌خوابی.

PHG01 | E | ---  | TEEN  | F   | V1 | پوست و انرژی‌ات تشکر می‌کنن؛ آفرین 👏
PHG01 | E | ---  | YOUNG | M   | V1 | هیدراته موندی؛ ریکاوری تمرینت عالی‌تر شد.
PHG01 | F | ---  | OLD   | ANY | V1 | فقط چند جرعه کوچک هم حسابه—به اندازهٔ بدن خودت.
PHG01 | P | ---  | MID   | ANY | V1 | سه روز پیاپی به هدف آب رسیدی—عادت داره شکل می‌گیره!

PHG02 | T | MOR  | ANY  | ANY | V1 | صبحانه‌ات رو رنگی کن: یک واحد میوه اضافه کن 🍎
PHG02 | T | MOR  | ANY  | ANY | V2 | امروز با میوه شروع کن؛ یک تکه کوچیک هم عالیه.
PHG02 | T | MOR  | ANY  | ANY | V3 | یک میوه کنار صبحانه؛ انتخابت چیه؟

PHG02 | T | NOON | ANY  | ANY | V1 | کنار ناهار یک کاسه سالاد سبز اضافه کن 🥗
PHG02 | T | NOON | ANY  | ANY | V2 | نصف بشقابت رو سبزیجات کن؛ می‌تونی؟
PHG02 | T | NOON | ANY  | ANY | V3 | یک هویج/خیارِ سریع برای شروع کافیه.

PHG02 | T | AFT  | ANY  | ANY | V1 | میان‌وعده سالم: یک میوه دستت بگیر.
PHG02 | T | AFT  | ANY  | ANY | V2 | هوس تنقلات؟ یک سیب/پرتقال جایگزین کن.
PHG02 | T | AFT  | ANY  | ANY | V3 | smoothie سبک می‌خوای؟ نیم‌پیمانه میوه کافیه.

PHG02 | T | EVE  | ANY  | ANY | V1 | شام رو با سبزیجات بیش‌تر متعادل کن.
PHG02 | T | EVE  | ANY  | ANY | V2 | امروز سبزی کافی خوردی؟ یک قاشق اضافه کن.
PHG02 | T | EVE  | ANY  | ANY | V3 | یک بشقاب سالاد کوچک کنار شام عالیه.

PHG02 | T | PRE  | ANY  | ANY | V1 | برای فردا یک میوه آماده بذار—کار رو راحت کن.
PHG02 | T | PRE  | ANY  | ANY | V2 | ظرف کوچیک سبزیِ شسته، آمادهٔ فردا؟
PHG02 | T | PRE  | ANY  | ANY | V3 | برنامهٔ فردا: یک میوه در کیف/کیس‌ات بگذار.

PHG02 | E | ---  | ANY  | ANY | V1 | عالی! امروز رنگِ بشقابت بیشتر شد 🌈
PHG02 | E | ---  | ANY  | ANY | V2 | انتخاب‌های سالم‌ترت به چشم میاد—دمت گرم.
PHG02 | E | ---  | ANY  | ANY | V3 | فیبر بیشتری گرفتی؛ بدنت تشکر می‌کنه 👏

PHG02 | F | ---  | ANY  | ANY | V1 | نرسیدی؟ همین الان یک میوه کوچک هم کافیه.
PHG02 | F | ---  | ANY  | ANY | V2 | امروز سخت بود؟ فردا از نصف سیب شروع کنیم.
PHG02 | F | ---  | ANY  | ANY | V3 | فقط یک قاشق سالاد کنار شام—قدم کوچیک هم قدمه.

PHG02 | P | ---  | ANY  | ANY | V1 | امروز از دیروز یک واحد بیشتر سبزی/میوه خوردی 💪
PHG02 | P | ---  | ANY  | ANY | V2 | این هفته فیبرت از هفته قبل بالاتر رفت—عالیه!
PHG02 | P | ---  | ANY  | ANY | V3 | دو روز پشت‌سرهم انتخاب سالم داشتی—درسته مسیر همینه.

PHG02 | T | MOR  | KID   | ANY | V1 | بشقابت رو رنگین‌کمان کن 🌈 یک تکه میوه اضافه!
PHG02 | T | AFT  | KID   | ANY | V1 | میان‌وعده بازی‌طور: یک میوه کوچولو.

PHG02 | T | NOON | TEEN  | F   | V1 | یک کاسه سالاد؛ پوستت دوستش داره ✨
PHG02 | T | AFT  | TEEN  | M   | V1 | برای تمرین، یک میوه انرژی‌بهتر می‌ده.

PHG02 | T | EVE  | YOUNG | F   | V1 | شام سبک‌تر با سبزیجات؛ هم هضم بهتر هم حال بهتر.
PHG02 | T | MOR  | YOUNG | M   | V1 | یک موز/سیب قبل کار؛ سوخت تمیز برای روزت.

PHG02 | T | EVE  | MID   | ANY | V1 | سبزیجات بیشتر = قلب و قند خون خوشحال‌تر.
PHG02 | T | MOR  | OLD   | ANY | V1 | میوه نرم و راحت‌جویدن؛ شروع ملایم روز.

PHG02 | E | ---  | TEEN  | ANY | V1 | انتخاب‌هات هوشمندانه‌تر شدن—آفرین!
PHG02 | F | ---  | OLD   | ANY | V1 | نصف میوه هم عالیه؛ به اندازهٔ اشتها پیش برو.
PHG02 | P | ---  | MID   | ANY | V1 | این هفته سبزیجاتت بیشتر شد؛ مسیرت درسته.

PHG03 | T | MOR  | ANY  | ANY | V1 | روزتو با چند حرکت ورزشی سبک شروع کن 💪
PHG03 | T | MOR  | ANY  | ANY | V2 | حتی ۵ دقیقه نرمش هم عالیه؛ امتحان کنی؟
PHG03 | T | MOR  | ANY  | ANY | V3 | یک کشش ساده صبحگاهی، انرژی روزتو بالا می‌بره.

PHG03 | T | NOON | ANY  | ANY | V1 | بعد ناهار ۱۰ دقیقه حرکات سبک؛ هضم بهتر هم می‌شه.
PHG03 | T | NOON | ANY  | ANY | V2 | یکم تحرک وسط روز؟ الان وقتشه.
PHG03 | T | NOON | ANY  | ANY | V3 | بشکن سکون ظهر با چند حرکت ساده.

PHG03 | T | AFT  | ANY  | ANY | V1 | ۲۰ دقیقه ورزش عصرگاهی؛ آماده‌ای؟
PHG03 | T | AFT  | ANY  | ANY | V2 | الان بهترین وقت برای یک جلسه تمرین کوتاهه.
PHG03 | T | AFT  | ANY  | ANY | V3 | هرچی بیشتر نشستی، بیشتر نیاز به ورزش داری!

PHG03 | T | EVE  | ANY  | ANY | V1 | غروب با یک ورزش سبک، استرس روزتو خالی کن.
PHG03 | T | EVE  | ANY  | ANY | V2 | حالا وقت تمرین قدرتی یا هوازی کوتاهه.
PHG03 | T | EVE  | ANY  | ANY | V3 | خستگی امروز رو با ۲۰ دقیقه ورزش تخلیه کن.

PHG03 | T | PRE  | ANY  | ANY | V1 | قبل خواب حرکات کششی سبک؛ خوابت راحت‌تر می‌شه.
PHG03 | T | PRE  | ANY  | ANY | V2 | یک روتین آرام یوگا؟ فقط چند دقیقه کافیه.
PHG03 | T | PRE  | ANY  | ANY | V3 | بدن ریلکس = خواب بهتر. کشش کوتاه انجام بده.

PHG03 | E | ---  | ANY  | ANY | V1 | دمت گرم! امروز تحرکت از دیروز بیشتر بود 👏
PHG03 | E | ---  | ANY  | ANY | V2 | انرژی‌ت بالاتر شد، ورزش اثرشو گذاشت.
PHG03 | E | ---  | ANY  | ANY | V3 | بدن سالم‌تر، ذهن آروم‌تر. کارت عالیه.

PHG03 | F | ---  | ANY  | ANY | V1 | نرسیدی؟ فقط ۵ دقیقه نرمش سریع هم حسابه.
PHG03 | F | ---  | ANY  | ANY | V2 | امروز سخت بود؟ فردا با یک ربع شروع کن.
PHG03 | F | ---  | ANY  | ANY | V3 | یه حرکت کششی الان بکن، همینم ارزشمنده.

PHG03 | P | ---  | ANY  | ANY | V1 | سه روز پیاپی ورزش کردی—عادت در حال ساختنه 💪
PHG03 | P | ---  | ANY  | ANY | V2 | امروز رکورد زمان ورزشیت رو زدی.
PHG03 | P | ---  | ANY  | ANY | V3 | این هفته از هفته قبل تحرک بیشتری داشتی 👏

PHG03 | T | MOR  | TEEN  | M   | V1 | قبل مدرسه ۱۰ تا شنا برو—انرژیت می‌ره بالا.
PHG03 | T | MOR  | TEEN  | F   | V1 | ۵ دقیقه یوگای سبک صبحگاهی امتحان کن.
PHG03 | T | EVE  | YOUNG | M   | V1 | تمرین باشگاه یادت نره—یه جلسه کوتاه هم خوبه.
PHG03 | T | EVE  | YOUNG | F   | V1 | رقص یا زومبا امشب؟ هم تفریح هم ورزش.
PHG03 | T | PRE  | OLD   | ANY | V1 | چند حرکت کششی آرام قبل خواب—مناسب سن تو.

PHG04 | T | MOR  | ANY  | ANY | V1 | دیشب چند ساعت خوابیدی؟ ۷–۸ ساعت ایده‌آله.
PHG04 | T | MOR  | ANY  | ANY | V2 | خواب کافی = انرژی صبحگاهی بیشتر.
PHG04 | T | MOR  | ANY  | ANY | V3 | احساس سرحال بودن صبح = خواب خوب دیشب.

PHG04 | T | NOON | ANY  | ANY | V1 | خواب‌آلودی؟ شاید دیشب کم خوابیدی.
PHG04 | T | NOON | ANY  | ANY | V2 | یک چرت ۲۰ دقیقه‌ای الان معجزه می‌کنه.
PHG04 | T | NOON | ANY  | ANY | V3 | وسط روز خوابت می‌گیره؟ علتش کم‌خوابی شبانه‌ست.

PHG04 | T | AFT  | ANY  | ANY | V1 | بعدازظهر خستگی حس می‌کنی؟ کیفیت خوابت رو چک کن.
PHG04 | T | AFT  | ANY  | ANY | V2 | یادته دیشب کی خوابیدی؟ تنظیم ساعت مهمه.
PHG04 | T | AFT  | ANY  | ANY | V3 | تمرکزت کم شده؟ شاید نیاز به خواب بیشتر داری.

PHG04 | T | EVE  | ANY  | ANY | V1 | شب نزدیکه؛ آماده شو برای خواب به‌موقع.
PHG04 | T | EVE  | ANY  | ANY | V2 | خاموشی صفحه‌نمایش یک ساعت قبل خواب، کمکت می‌کنه.
PHG04 | T | EVE  | ANY  | ANY | V3 | روتین آرام شب بساز؛ خواب راحت‌تر می‌شه.

PHG04 | T | PRE  | ANY  | ANY | V1 | الان وقت خوابه؛ فردا سرحال‌تر بیدار می‌شی.
PHG04 | T | PRE  | ANY  | ANY | V2 | چراغا رو کم کن و گوشی رو کنار بذار.
PHG04 | T | PRE  | ANY  | ANY | V3 | بدن به استراحت نیاز داره؛ خواب کافی رو جدی بگیر.

PHG04 | E | ---  | ANY  | ANY | V1 | عالی! دیشب سر ساعت خوابیدی 👏
PHG04 | E | ---  | ANY  | ANY | V2 | خواب کافی باعث شد امروز پرانرژی باشی.
PHG04 | E | ---  | ANY  | ANY | V3 | عادت خوابت داره بهتر می‌شه—آفرین.

PHG04 | F | ---  | ANY  | ANY | V1 | نرسیدی زود بخوابی؟ امشب جبران کن.
PHG04 | F | ---  | ANY  | ANY | V2 | حتی نیم‌ساعت خواب بیشتر هم اثر می‌ذاره.
PHG04 | F | ---  | ANY  | ANY | V3 | وقت خواب رو به تدریج تنظیم کن—یک قدم کوچیک.

PHG04 | P | ---  | ANY  | ANY | V1 | این هفته بیشتر شب‌ها سر وقت خوابیدی.
PHG04 | P | ---  | ANY  | ANY | V2 | امروز سرحال‌تر از دیروزی—خواب بهتر جواب داد.
PHG04 | P | ---  | ANY  | ANY | V3 | نظم خواب داری پیدا می‌کنی—عالیه.

PHG04 | T | PRE  | TEEN  | ANY | V1 | امتحان داری؟ شب بیداری نکن، خواب هم مهمه.
PHG04 | T | PRE  | YOUNG | ANY | V1 | گوشی رو ۳۰ دقیقه قبل خواب بذار کنار.
PHG04 | T | PRE  | OLD   | ANY | V1 | بالش و تخت راحت برای خوابت حیاتی‌ه.

PHG05 | T | MOR  | ANY  | ANY | V1 | صبح زود یک پیاده‌روی سبک می‌خوای؟ انرژی می‌ده.
PHG05 | T | MOR  | ANY  | ANY | V2 | روزتو با ۱۰ دقیقه قدم‌زدن شروع کن.
PHG05 | T | MOR  | ANY  | ANY | V3 | پیاده‌روی صبحگاهی = ذهن بازتر.

PHG05 | T | NOON | ANY  | ANY | V1 | بعد ناهار یک دور کوتاه برو—هضم بهتر می‌شه.
PHG05 | T | NOON | ANY  | ANY | V2 | ناهار سنگین؟ یک پیاده‌روی کمک می‌کنه.
PHG05 | T | NOON | ANY  | ANY | V3 | استراحت ظهر = ۱۰ دقیقه قدم‌زدن.

PHG05 | T | AFT  | ANY  | ANY | V1 | حوصله‌ت سر رفته؟ یک قدم‌زدن کوتاه بزن.
PHG05 | T | AFT  | ANY  | ANY | V2 | هوای تازه بعدازظهر عالیه؛ یک دور برو.
PHG05 | T | AFT  | ANY  | ANY | V3 | الان بهترین وقته برای تحرک سبک.

PHG05 | T | EVE  | ANY  | ANY | V1 | غروب با یک پیاده‌روی آرام روزتو جمع کن.
PHG05 | T | EVE  | ANY  | ANY | V2 | شام سبک + پیاده‌روی کوتاه = عالی.
PHG05 | T | EVE  | ANY  | ANY | V3 | یک دور عصرگاهی؛ هم آرامش هم کالری‌سوزی.

PHG05 | T | PRE  | ANY  | ANY | V1 | قبل خواب قدم‌های کوتاه = خواب راحت‌تر.
PHG05 | T | PRE  | ANY  | ANY | V2 | یک پیاده‌روی ملایم شبانه کمکت می‌کنه ریلکس کنی.
PHG05 | T | PRE  | ANY  | ANY | V3 | پیاده‌روی سبک قبل خواب؟ امتحان کن.

PHG05 | E | ---  | ANY  | ANY | V1 | آفرین! امروز قدم‌های بیشتری زدی 👏
PHG05 | E | ---  | ANY  | ANY | V2 | حرکت روزانه‌ت عالی بود—دمت گرم.
PHG05 | E | ---  | ANY  | ANY | V3 | بدنت ازت ممنونه؛ پیاده‌روی بهترین داروه.

PHG05 | F | ---  | ANY  | ANY | V1 | نشد بیرون بری؟ تو خونه هم درجا قدم بزن.
PHG05 | F | ---  | ANY  | ANY | V2 | فقط ۵ دقیقه راه رفتن هم ارزشمنده.
PHG05 | F | ---  | ANY  | ANY | V3 | فردا با زمان کمتر شروع کن—اشکال نداره.

PHG05 | P | ---  | ANY  | ANY | V1 | امروز قدم‌هات از دیروز بیشتر بودن.
PHG05 | P | ---  | ANY  | ANY | V2 | سه روز پشت سر هم پیاده‌روی کردی—عالیه.
PHG05 | P | ---  | ANY  | ANY | V3 | رکورد هفتگی قدم‌هات بالاتر رفت.

PHG05 | T | MOR  | KID   | ANY | V1 | با مامان/بابا یک دور کوتاه برو؛ سرگرمی هم هست.
PHG05 | T | AFT  | TEEN  | M   | V1 | با دوستت بعد مدرسه یک دور پیاده‌روی کن.
PHG05 | T | EVE  | YOUNG | F   | V1 | غروب با موزیک موردعلاقه‌ت قدم بزن.
PHG05 | T | PRE  | OLD   | ANY | V1 | آرام و با کفش راحت—پیاده‌روی شبانه امن‌تره.

PHG06 | T | MOR  | ANY  | ANY | V1 | ۵ دقیقه وقفه بگیر؛ چشماتو از صفحه بردار 👀
PHG06 | T | MOR  | ANY  | ANY | V2 | یه لیوان آب + کشش سبک = استراحت خوب.
PHG06 | T | MOR  | ANY  | ANY | V3 | یکم دور شو از میز؛ انرژی برگردون.

PHG06 | T | NOON | ANY  | ANY | V1 | قبل ناهار، ۵ دقیقه استراحت کن.
PHG06 | T | NOON | ANY  | ANY | V2 | وسط روز لازمه یه وقفه کوچیک بگیری.
PHG06 | T | NOON | ANY  | ANY | V3 | یک قدم دور شدن از کار = ذهن تازه‌تر.

PHG06 | T | AFT  | ANY  | ANY | V1 | بعدازظهر یکم خستگی داری؟ ۵ دقیقه پا شو.
PHG06 | T | AFT  | ANY  | ANY | V2 | استراحت کوتاه = تمرکز طولانی‌تر.
PHG06 | T | AFT  | ANY  | ANY | V3 | چند حرکت کششی ساده، انرژی‌ت رو برمی‌گردونه.

PHG06 | T | EVE  | ANY  | ANY | V1 | کار زیاد کردی؟ الان وقفه بگیر.
PHG06 | T | EVE  | ANY  | ANY | V2 | آخر روز هم مغز استراحت می‌خواد.
PHG06 | T | EVE  | ANY  | ANY | V3 | کمی استراحت = شب آرام‌تر.

PHG06 | T | PRE  | ANY  | ANY | V1 | قبل خواب هم ذهنتو خالی کن؛ ۵ دقیقه استراحت.
PHG06 | T | PRE  | ANY  | ANY | V2 | یکم ریلکس کن؛ فردا پرانرژی‌تر می‌شی.
PHG06 | T | PRE  | ANY  | ANY | V3 | آخرین وقفه روز؛ برای خودت.

PHG06 | E | ---  | ANY  | ANY | V1 | عالی! استراحت به موقع داشتی 👏
PHG06 | E | ---  | ANY  | ANY | V2 | ذهنت شارژ شد؛ کارت بهتر پیش می‌ره.
PHG06 | E | ---  | ANY  | ANY | V3 | با همین وقفه‌های کوچیک، سلامتت حفظ می‌شه.

PHG06 | F | ---  | ANY  | ANY | V1 | استراحت نکردی؟ الان ۲ دقیقه هم کافیه.
PHG06 | F | ---  | ANY  | ANY | V2 | نشد؟ فردا بیشتر دقت کن.
PHG06 | F | ---  | ANY  | ANY | V3 | حتی بستن چشم ۳۰ ثانیه هم حسابه.

PHG06 | P | ---  | ANY  | ANY | V1 | امروز بیشتر از دیروز وقفه گرفتی—عالیه.
PHG06 | P | ---  | ANY  | ANY | V2 | سه روز متوالی استراحت داشتی؛ عادت خوبیه.
PHG06 | P | ---  | ANY  | ANY | V3 | ذهنت کمتر خسته شد؛ پیشرفتت واضحه.

PHG06 | T | AFT  | TEEN  | ANY | V1 | بعد از درس هم وقفه لازم داری؛ یه قدم دور شو.
PHG06 | T | MOR  | YOUNG | M   | V1 | وسط کار یه لیوان آب و کشش کوتاه کن.
PHG06 | T | EVE  | OLD   | ANY | V1 | حتماً استراحت کن؛ بدن نیاز بیشتری داره.

PHG07 | T | MOR  | ANY  | ANY | V1 | صبحانه‌ات کامل باشه؛ پروتئین + میوه.
PHG07 | T | MOR  | ANY  | ANY | V2 | از شیرینی زیاد دوری کن؛ انتخاب سالم‌تر داشته باش.
PHG07 | T | MOR  | ANY  | ANY | V3 | صبح = بهترین وقت برای یک وعده متعادل.

PHG07 | T | NOON | ANY  | ANY | V1 | بشقاب ناهار رو رنگی کن: سبزی، پروتئین، غلات.
PHG07 | T | NOON | ANY  | ANY | V2 | نصف بشقابت سبزیجات باشه.
PHG07 | T | NOON | ANY  | ANY | V3 | یک وعده سالم = انرژی پایدار.

PHG07 | T | AFT  | ANY  | ANY | V1 | میان‌وعده سالم بخور؛ آجیل یا میوه.
PHG07 | T | AFT  | ANY  | ANY | V2 | تنقلات پرکالری رو با انتخاب سالم جایگزین کن.
PHG07 | T | AFT  | ANY  | ANY | V3 | مغز و بدنت میان‌وعده سالم می‌خوان.

PHG07 | T | EVE  | ANY  | ANY | V1 | شام سبک و متعادل داشته باش.
PHG07 | T | EVE  | ANY  | ANY | V2 | کمتر غذای چرب بخور؛ هضم آسون‌تر می‌شه.
PHG07 | T | EVE  | ANY  | ANY | V3 | شام سالم = خواب راحت‌تر.

PHG07 | T | PRE  | ANY  | ANY | V1 | برای فردا وعده سالم آماده کن.
PHG07 | T | PRE  | ANY  | ANY | V2 | غذای آماده‌ات رو سبک‌تر کن.
PHG07 | T | PRE  | ANY  | ANY | V3 | برنامه غذایی فردا رو الان بچین.

PHG07 | E | ---  | ANY  | ANY | V1 | عالی! انتخاب غذای سالم داشتی 👏
PHG07 | E | ---  | ANY  | ANY | V2 | تغذیه‌ات به تعادل نزدیک‌تر شده.
PHG07 | E | ---  | ANY  | ANY | V3 | با همین روند بدنت شاداب‌تر می‌مونه.

PHG07 | F | ---  | ANY  | ANY | V1 | امروز سالم نخوردی؟ فردا جبران کن.
PHG07 | F | ---  | ANY  | ANY | V2 | حتی یک وعده سالم هم ارزشمنده.
PHG07 | F | ---  | ANY  | ANY | V3 | قدم کوچیک بهتر از هیچ‌کاری نکردنه.

PHG07 | P | ---  | ANY  | ANY | V1 | این هفته غذای سالم‌تری داشتی.
PHG07 | P | ---  | ANY  | ANY | V2 | دو روز پشت‌سرهم وعده سالم داشتی 👏
PHG07 | P | ---  | ANY  | ANY | V3 | انتخاب‌هات به مرور سالم‌تر شدن.

PHG07 | T | NOON | TEEN  | ANY | V1 | ناهار سالم = انرژی برای درس و بازی.
PHG07 | T | EVE  | YOUNG | F   | V1 | شام سبک کمک می‌کنه پوستت بهتر بمونه ✨
PHG07 | T | MOR  | MID   | ANY | V1 | صبحانه کامل = جلوگیری از پرخوری ظهر.
PHG07 | T | EVE  | OLD   | ANY | V1 | غذای چرب کمتر بخور؛ هضم راحت‌تر می‌شه.

PHG08 | T | MOR  | ANY  | ANY | V1 | روزتو با مسواک و شست‌وشو شروع کن.
PHG08 | T | MOR  | ANY  | ANY | V2 | بهداشت صبحگاهی = حس بهتر در طول روز.
PHG08 | T | MOR  | ANY  | ANY | V3 | مسواک و آب‌زدن صورت فراموش نشه.

PHG08 | T | NOON | ANY  | ANY | V1 | دست‌هاتو قبل ناهار خوب بشور.
PHG08 | T | NOON | ANY  | ANY | V2 | شستن دست = پیشگیری از بیماری.
PHG08 | T | NOON | ANY  | ANY | V3 | تمیزی دست‌ها کوچیکه ولی مهم.

PHG08 | T | AFT  | ANY  | ANY | V1 | بعد از فعالیت، دوش کوتاه بگیر.
PHG08 | T | AFT  | ANY  | ANY | V2 | تعریق = وقت تازه‌سازی بدنه.
PHG08 | T | AFT  | ANY  | ANY | V3 | یه شست‌وشوی سریع، حالتو عوض می‌کنه.

PHG08 | T | EVE  | ANY  | ANY | V1 | قبل شام دست‌هاتو دوباره بشور.
PHG08 | T | EVE  | ANY  | ANY | V2 | بعد از روز کاری، صورتتو پاک کن.
PHG08 | T | EVE  | ANY  | ANY | V3 | بهداشت عصرگاهی = آرامش بیشتر.

PHG08 | T | PRE  | ANY  | ANY | V1 | مسواک شب = خواب راحت‌تر و دندان سالم.
PHG08 | T | PRE  | ANY  | ANY | V2 | روتین شب: مسواک + شستن صورت.
PHG08 | T | PRE  | ANY  | ANY | V3 | قبل خواب یک دقیقه وقت بذار برای دندون‌هات.

